epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9751,1.71506,3.58972,1.39482,0.09762,0.52296,0.0747,0.03565,1.04535,3.38197,1.08412,4e-05,4e-05,4e-05
2,37.9539,1.40895,3.47664,1.29785,0.17429,0.93367,0.18803,0.11073,0.96153,3.28685,0.99435,9.802e-05,9.802e-05,9.802e-05
3,56.6222,1.18797,3.20053,1.12778,0.18667,1,0.32206,0.21479,0.84482,3.15942,0.92312,0.000153664,0.000153664,0.000153664
4,74.6933,1.06899,2.69019,1.02279,0.18667,1,0.34466,0.24848,0.84223,3.0167,0.90079,0.000206932,0.000206932,0.000206932
5,92.836,1.00168,2.13915,0.96237,0.18667,1,0.75259,0.57217,0.824,2.74776,0.89245,0.000257824,0.000257824,0.000257824
6,110.692,0.97316,1.59326,0.94642,0.18667,1,0.97033,0.75482,0.84727,2.56959,0.90253,0.00030634,0.00030634,0.00030634
7,128.679,1.01696,1.4962,0.9326,0.29861,0.98183,0.97603,0.73388,0.86099,2.41153,0.90193,0.00035248,0.00035248,0.00035248
8,146.582,0.9147,1.27538,0.91324,1,0.80534,0.98645,0.66684,0.9789,2.38029,0.93782,0.000396244,0.000396244,0.000396244
9,164.663,0.96217,1.06466,0.92769,1,0.75164,0.98781,0.76296,0.85116,2.12302,0.90142,0.000437632,0.000437632,0.000437632
10,182.624,0.87454,1.00718,0.89555,1,0.84931,0.99364,0.75873,0.84958,2.0073,0.89768,0.000476644,0.000476644,0.000476644
11,200.854,0.89641,0.97369,0.89298,1,0.9181,0.99386,0.70118,1.00312,1.70332,0.90698,0.00051328,0.00051328,0.00051328
12,219.655,0.85726,0.86723,0.8889,0.98659,0.93855,0.99244,0.69777,1.01037,1.57798,0.91573,0.00054754,0.00054754,0.00054754
13,237.649,0.84699,0.80976,0.89709,0.95122,0.94527,0.98749,0.76213,0.87866,1.37356,0.88347,0.000579424,0.000579424,0.000579424
14,255.41,0.83961,0.76228,0.88295,0.95563,0.94643,0.98873,0.75469,0.86564,1.31653,0.88053,0.000608932,0.000608932,0.000608932
15,273.444,0.80866,0.74996,0.88206,0.97407,0.95821,0.98825,0.72096,0.93263,1.24504,0.88636,0.000636064,0.000636064,0.000636064
16,292.344,0.76395,0.73032,0.87045,0.98164,0.95458,0.98716,0.73688,0.91157,1.17811,0.89549,0.00066082,0.00066082,0.00066082
17,310.28,0.84549,0.71227,0.89872,0.99473,0.96394,0.98851,0.76786,0.81205,0.9686,0.88384,0.0006832,0.0006832,0.0006832
18,328.113,0.76718,0.67569,0.86817,0.98885,0.96939,0.99172,0.80463,0.74748,0.85851,0.87539,0.000703204,0.000703204,0.000703204
19,345.96,0.75069,0.64955,0.87623,0.98978,0.98791,0.9948,0.82991,0.67602,0.73845,0.87368,0.000720832,0.000720832,0.000720832
20,363.901,0.72717,0.64892,0.8682,1,0.9945,0.995,0.82149,0.73733,0.65299,0.90391,0.000736084,0.000736084,0.000736084
21,381.843,0.75925,0.6276,0.88293,0.99988,1,0.995,0.83615,0.67071,0.59125,0.89091,0.00074896,0.00074896,0.00074896
22,399.755,0.69297,0.62972,0.87246,0.99963,1,0.995,0.83902,0.6819,0.57009,0.87326,0.00075946,0.00075946,0.00075946
23,418.198,0.78818,0.643,0.88222,0.99976,1,0.995,0.83256,0.70733,0.58006,0.87924,0.000767584,0.000767584,0.000767584
24,436.254,0.79861,0.68571,0.88651,0.99979,1,0.995,0.85564,0.62451,0.56937,0.86509,0.000773332,0.000773332,0.000773332
25,454.278,0.71754,0.60228,0.87019,0.99984,1,0.995,0.83606,0.67357,0.55452,0.88615,0.000776704,0.000776704,0.000776704
26,472.672,0.70149,0.59969,0.86941,0.99978,1,0.995,0.84857,0.635,0.54915,0.88205,0.0007777,0.0007777,0.0007777
27,490.636,0.69115,0.60426,0.86487,0.99976,1,0.995,0.85503,0.6067,0.5325,0.86267,0.00077632,0.00077632,0.00077632
28,508.912,0.77916,0.63138,0.86845,0.99978,1,0.995,0.85856,0.60558,0.53348,0.86112,0.000772564,0.000772564,0.000772564
29,527.28,0.67933,0.56877,0.86171,0.99978,1,0.995,0.85856,0.60558,0.53348,0.86112,0.000766432,0.000766432,0.000766432
30,545.884,0.68629,0.57649,0.85958,0.99978,1,0.995,0.85418,0.60285,0.5124,0.87164,0.000757924,0.000757924,0.000757924
31,565.484,0.69312,0.55045,0.86332,0.99983,1,0.995,0.8576,0.57841,0.49396,0.8632,0.00074704,0.00074704,0.00074704
32,584.53,0.71483,0.57339,0.87246,0.99982,1,0.995,0.87159,0.58767,0.50253,0.85549,0.00073378,0.00073378,0.00073378
33,603.194,0.65111,0.5465,0.85808,0.99982,1,0.995,0.87159,0.58767,0.50253,0.85549,0.000718144,0.000718144,0.000718144
34,630.062,0.69607,0.57502,0.87186,0.99984,1,0.995,0.87145,0.60223,0.49104,0.85835,0.0006932,0.0006932,0.0006932
35,659.316,0.67467,0.55623,0.8564,0.99984,1,0.995,0.87379,0.58994,0.47722,0.86442,0.0006536,0.0006536,0.0006536
36,683.459,0.6652,0.53359,0.87144,0.99984,1,0.995,0.87462,0.54998,0.4624,0.85525,0.000614,0.000614,0.000614
37,706.467,0.65722,0.55222,0.85305,0.99984,1,0.995,0.87462,0.54998,0.4624,0.85525,0.0005744,0.0005744,0.0005744
38,730.36,0.63856,0.52627,0.8622,0.99984,1,0.995,0.87446,0.54626,0.45797,0.85434,0.0005348,0.0005348,0.0005348
39,754.241,0.62899,0.50221,0.85663,0.99984,1,0.995,0.87457,0.54757,0.45605,0.85517,0.0004952,0.0004952,0.0004952
40,777.984,0.66715,0.56224,0.85146,0.99983,1,0.995,0.87865,0.5414,0.45308,0.853,0.0004556,0.0004556,0.0004556
41,799.791,0.58627,0.45918,0.84747,0.99983,1,0.995,0.87865,0.5414,0.45308,0.853,0.000416,0.000416,0.000416
42,820.883,0.57589,0.45044,0.84323,0.9998,1,0.995,0.88016,0.52552,0.43991,0.84945,0.0003764,0.0003764,0.0003764
43,840.092,0.57932,0.46361,0.8443,0.99977,1,0.995,0.8821,0.51783,0.42772,0.84848,0.0003368,0.0003368,0.0003368
44,859.554,0.62028,0.47897,0.85528,0.99977,1,0.995,0.88645,0.52151,0.42475,0.852,0.0002972,0.0002972,0.0002972
45,878.96,0.58244,0.45056,0.84993,0.99977,1,0.995,0.88645,0.52151,0.42475,0.852,0.0002576,0.0002576,0.0002576
46,898.036,0.57457,0.44771,0.84476,0.99977,1,0.995,0.88666,0.51711,0.41702,0.84988,0.000218,0.000218,0.000218
47,915.785,0.57845,0.45201,0.8459,0.99978,1,0.995,0.88617,0.51318,0.40732,0.84663,0.0001784,0.0001784,0.0001784
48,933.8,0.56658,0.44087,0.83717,0.99978,1,0.995,0.88804,0.50831,0.40125,0.84569,0.0001388,0.0001388,0.0001388
49,951.99,0.55522,0.43007,0.84023,0.99978,1,0.995,0.88804,0.50831,0.40125,0.84569,9.92e-05,9.92e-05,9.92e-05
50,970.625,0.55392,0.43897,0.84957,0.99978,1,0.995,0.88649,0.50404,0.39853,0.84554,5.96e-05,5.96e-05,5.96e-05
